,accuracy,recall,precision,f1_score
0,0.9983,0.4302,0.9487000000000001,0.5919656827906302
0,0.9983,0.4072,0.9577,0.5714344494102133
0,0.9984000000000001,0.47509999999999997,0.9884999999999999,0.6417550560262366
0,0.9984000000000001,0.4294,0.9605,0.593479674796748
0,0.9982,0.4385,0.9534999999999999,0.6007323994252873
0,0.9982,0.4171,0.975,0.5842575964370376
0,0.9986,0.4575,0.9589,0.6194531911889297
0,0.9984999999999999,0.47130000000000005,0.988,0.6381750154183513
0,0.9986,0.48840000000000006,0.9882,0.6537137748882569
0,0.9986,0.4939,0.9878,0.6585333333333334
